ResponsibleDepartment,Reason,Notes
Billing,Document Error,BILLING AGREEMENT WITH CC INFO STILL ATTATCHED TO NEW PATIENT INFO PACKET. THIS DOC IS NOW IN FINANCE QUEUE
Billing,Document Error,BILLING AGREEMENT WITH CC INFO STILL ATTATCHED TO NEW PATIENT INFO PACKET. THIS DOC IS NOW IN FINANCE QUEUE
Billing,Document Error,"BA WITH CC INFO WAS COPIED AND NOT UNSTAPLED, LEAVING CC INFO IN ADMIT PACKET. THIS HAS BEEN UNSTAPLED INTO FINANCE QUEUE."
Billing,Document Error,"BA WITH CC INFO WAS COPIED AND NOT UNSTAPLED, LEAVING CC INFO IN ADMIT PACKET. THIS HAS BEEN UNSTAPLED INTO FINANCE QUEUE."
Billing,Document Error,"BA WITH CC INFO WAS COPIED AND NOT UNSTAPLED, LEAVING CC INFO IN ADMIT PACKET. THIS HAS BEEN UNSTAPLED INTO FINANCE QUEUE."
Data Entry Misc,SIG/MULTI-SIG/DIRECTIONS,"B12 INJECT (IM) NOT (SUB Q) "
Data Entry,Procedure,"REFILLS APPROVED, DOC LEFT IN TRIAGE INSTEAD OF MOVED TO REFILL QUEUE"
Data Entry,EMAR,STOP DATE
Data Entry,EMAR,MULTISIG
Data Entry,SIG/MULTI-SIG/DIRECTIONS,TYPO
Data Entry Misc,Wrong Batch,"
"
Data Entry,Tickler,DATE
Pharmacist,Document Error,COMPLETED INSTEAD OF GOING TO ER
Data Entry,Document Error,COMPLETED WITH REJECTIONS
Data Entry,EMAR,STOP DATE
Billing,Billing Error,"THE SUNVIEW PRICE PLAN WAS SELECTED, BUT THE CHARGE ACCOUNT WAS LEFT AS THE PATIENT'S.  THE *SUNVIEW (SUSS) AHCCCS ACCOUNT SHOULD HAVE BEEN SELECTED."
Billing,Patient,"CREATED PROFILE UNDER INCORRECT NAME OF HENDRICK. PT IS HEDRICK, PER ADMIT PW & INSURANCE. THIS HAS BEEN CORRECTED"
Data Entry,Procedure,DOC SENT TO COMPLETE
Data Entry,Wrong Batch,TUNGLAND WILL NOT GO WEEKEND UNLESS YT
Fulfillment DLY,Drug/Strength (FF),2 DIFF PTS CUT AND PASTED TOGETHER FOR 2 DIFFERENT INSULINS
Fulfillment DLY,Label Issue,2 DIFF PTS CUT AND PASTED TOGETHER FOR 2 DIFFERENT INSULINS
Fulfillment DLY,Label Not Scanned,2 DIFF PTS CUT AND PASTED TOGETHER FOR 2 DIFFERENT INSULINS
Data Entry,Wrong Batch,FVVN DOES NOT NEED A YT FOR THE 645
Fulfillment DLY,Packaging,ALF PACKAGED LIKE SNF
Data Entry,Wrong Batch,FVVN ADMIT BATCHED YT
Data Entry,Wrong Batch,ASVH BATCHED YT
Data Entry,Wrong Batch,BVSS DOES NOT NEED A YT
Data Entry,Wrong Batch,ZN DONT GO 645 UNLESS YT
Data Entry Misc,Procedure,DIDN'T CHANGE TICKLER DATE ON IV
Data Entry Misc,Procedure,DIDN'T CHANGE TICKLER DATE ON IV
Data Entry Misc,Procedure,DIDN'T CHANGE TICKLER DATE ON IV
Data Entry Misc,Procedure,DIDN'T CHANGE TICKLER DATE ON IV
Data Entry Misc,Procedure,DIDN'T CHANGE TICKLER DATE ON IV
Fulfillment DLY,Packaging,ALF LIKE A SNF
Billing,Other,PT PREFERENCE OF VIAL NOT REMOVED FOR AN INTEGRO ADMIT
